FEN,Moves,Rating,Themes
2k5/pp6/r3p3/4PrPQ/2pP3P/2P1qp1R/PP3R2/2K5 w - - 3 39,c1d1 e3d3 d1c1 a6a2 h5e8 c8c7 e8e7 c7b6 e7e6 b6b5,2638,crushing defensiveMove endgame veryLong
r4k2/1p3pb1/2p3p1/8/2pNp2Q/2PnP3/1q3P1R/5K1R b - - 6 35,g6g5 h4g5 a8a1 f1g2 b2f2 g2h3 f7f6 d4e6 f8f7 g5g7,2638,crushing middlegame veryLong
r5k1/2p2pp1/p1np4/1p2q1NQ/5P2/2P4P/P5PK/R1B1r3 b - - 0 21,e5f6 h5h7 g8f8 h7h4 f6f5 h4e1,2638,advantage long middlegame
r1b2rk1/ppp2ppp/1q1p4/3n3R/4N3/3Bb3/PPPB2PP/R2Q3K b - - 1 16,d5f4 h5b5 b6c6 d2e3 f4d3 d1d3,2638,advantage long middlegame
3r2k1/p1qB1pbp/4p1p1/8/Q5P1/2PbB3/PP3P1P/2K4R w - - 7 22,d7b5 d3b5 a4b5 d8b8 b5b8 c7b8,2638,advantage long middlegame
r4rk1/pbb2ppn/7p/2p4q/P1B5/BP3N1P/5PP1/R2QR1K1 w - - 1 23,e1e7 h7g5 f3e5 g5h3 g2h3 h5g5 d1g4 g5e7,2638,clearance crushing fork middlegame sacrifice veryLong
r4rk1/p1p1qpp1/1b2bn1p/3pp3/8/P1NPBN1P/1PP1QPP1/R4RK1 w - - 0 14,f3e5 d5d4 e5c6 e7d7 c6d4 b6d4 e3d4 d7d4,2638,advantage fork middlegame veryLong
rn3rk1/p1q1bppp/3p1p2/2p5/8/3BPP2/P1QB1P1P/R3K2R b KQ - 0 15,b8c6 d3h7 g8h8 c2f5 g7g6 h7g6,2638,advantage kingsideAttack long middlegame
8/6pp/5k2/p3pP2/Pp2K2P/1P3P2/8/8 b - - 0 37,h7h6 h4h5 f6g5 e4e5 g5h5 f5f6 h5g6 f6g7 g6g7 e5e6,2638,advancedPawn crushing defensiveMove endgame pawnEndgame quietMove veryLong zugzwang
5k2/pp2n2r/4P3/3p4/3N4/1R6/P4PK1/8 b - - 1 45,e7c6 d4c6 h7g7 g2f3 b7c6 f3f4,2638,crushing defensiveMove endgame long
5rk1/2P4p/1Q6/3Pp3/4np1q/8/1PP3pP/R5K1 b - - 2 28,f4f3 c7c8q f3f2 g1g2 h4g5 g2h1 f8c8 b6e6 g8f8 e6c8,2638,advancedPawn crushing endgame fork promotion veryLong
8/5kp1/2r2p1p/1p6/7P/1P3KP1/2P1R3/8 b - - 10 54,c6e6 e2e6 f7e6 h4h5,2638,crushing defensiveMove endgame rookEndgame short
8/p3kppp/2B5/2PPK3/P5P1/7r/8/8 b - - 2 40,h3g3 d5d6 e7d8 c6b5 g3g1 c5c6,2638,advantage endgame long quietMove
6k1/2q4p/2p2Qp1/1pPp1p2/1P2pP2/4r1PP/3R3K/8 b - - 1 41,e3b3 d2a2 c7b7 f6a1,2638,advantage defensiveMove endgame quietMove short
5k2/5p2/pp6/P3P1pP/1pPpK3/8/7P/8 b - - 0 37,b6a5 e4d4 a5a4 d4d3 a4a3 d3c2,2638,crushing defensiveMove endgame long pawnEndgame
